,the,to,of,in,and,said,a,s,for,oil,mln,u,on,that,from,at,it,is,by,tonnes,1,dlrs,be,000,was,pct,wheat,will,he,with,year,its,as,would,an,prices,2,has,not,last,this,were,but,crude,1986,grain,are,production,have,87,corn,4,0,3,which,opec,5,price,they,had,up,bpd,about,been,market,1987,also,one,8,per,week,barrels,lt,billion,new,export,trade,50,more,than,we,department,7,agriculture,or,usda,government,two,6,gulf,10,company,1985,total,official,nil,may,if,exports,15,soviet,gas,some,barrel,under,no,report,energy,industry,output,could,other,imports,sources,stocks,there,world,25,month,crop,petroleum,over,20,today,program,9,after,told,march,between,30,18,their,09,expected,iran,because,day,sales,farm,union,april,maize,officials,minister,state,all,states,16,foreign,now,increase,agreement,saudi,three,farmers,added,exploration,corp,against,down,end,first,demand,february,china,ec,years,countries,17,made,any,during,while,co,cts,ecuador,through,only,86,analysts,rice,should,united,500,major,current,when,five,next,estimated,around,canada,companies,iranian,reserves,traders,offer,supply,higher
crude article000.txt,0.3393264141680361,0.13549035509696458,0.21853733084841992,0.17600589541385345,0.13993550038924357,0.10975913087999932,0.11895150115233062,0.02933431590230891,0.03139675742546222,0.08095293739418385,0.0876038433591638,0.0,0.03830027093391181,0.0,0.03934244941706592,0.0,0.0,0.08129853888689616,0.0775509745992364,0.0,0.0,0.0,0.0,0.0,0.0,0.15285513614401575,0.0,0.08963334042302082,0.0,0.0,0.09420692573898568,0.04486858727584152,0.0,0.0,0.04345695546333712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17207905576929772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054440060041196454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06770699409310149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14881122360615365,0.0,0.0,0.0,0.0,0.0,0.5665299601891853,0.14559825404662707,0.0,0.0,0.0,0.0,0.07065838141080187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06770699409310149,0.0,0.0,0.0,0.0,0.0,0.06884306300067217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15306534510519837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4001051027289519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07065838141080187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07633107134773152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23662126300195685,0.0
crude article001.txt,0.44631290810392493,0.17240705595343775,0.23897639464694184,0.15164077434140832,0.21145023797823143,0.10911321306255405,0.17737723119639795,0.18663479918942563,0.12484796681501589,0.11266715624619686,0.052252983868819304,0.14242898234381351,0.04568985474931806,0.13746987666040583,0.046933109231782164,0.07693577903130565,0.06167567798186451,0.06465608627997395,0.13877027545919515,0.0,0.040521494425273155,0.1338789149387984,0.051093010777786586,0.0,0.01701208814919835,0.14182523048845605,0.0,0.053463516115729484,0.020533093503125956,0.05261063669354123,0.14984404891273448,0.05352544996294411,0.14733893116194086,0.0586146662569811,0.06912194734056633,0.08406119952531768,0.0,0.09067890613808695,0.019464049942773478,0.07835200938835649,0.11575954737230638,0.03932635636702527,0.03773604024350522,0.0,0.0,0.0,0.09907693049267031,0.0,0.061932946010529545,0.0,0.0,0.0,0.0,0.0,0.020180581289149294,0.0,0.0,0.0,0.022808852469609522,0.04568852037024207,0.021964998704205665,0.0,0.0664818627087032,0.043865586169053485,0.07510612305107538,0.024682603823214546,0.06494362507561438,0.0,0.0,0.0,0.0,0.0,0.21194148177189684,0.08768032773512488,0.02405533651245533,0.0,0.0,0.0,0.04648590515247479,0.0,0.0,0.0,0.0,0.0,0.07253230916154035,0.0,0.0,0.02305959794463285,0.0,0.029810219680544734,0.0,0.02608110162561141,0.08447940106235,0.026598504731248068,0.0,0.0,0.050525764531891004,0.02549612145814492,0.05670143305325103,0.0,0.0,0.0,0.07578864679783649,0.027729066583218553,0.0,0.024218496792929915,0.027729066583218553,0.02815980035411667,0.31843114111324405,0.0,0.07779406620694196,0.025216931271769463,0.0,0.0,0.0,0.025783992509462155,0.028350716526625516,0.026336189558219293,0.028350716526625516,0.0,0.0,0.0,0.027375172309933,0.0,0.029369226511009466,0.0,0.0,0.0,0.0,0.0,0.026131560095571094,0.0,0.02760959258591777,0.0,0.082125516929799,0.0,0.0,0.0,0.030273271481889515,0.0,0.03043291520086238,0.0,0.0,0.0,0.0,0.0,0.026923418992385217,0.0,0.0,0.03067766353851225,0.027203171580821334,0.0,0.0,0.0,0.08195244896202858,0.0,0.028097026511484276,0.0,0.08663985707282304,0.02973524675008349,0.0,0.0,0.0,0.12728017205372238,0.0,0.0,0.0,0.05845355182341659,0.0,0.0,0.05521918517183554,0.0,0.028812119773470663,0.0,0.061027562544563395,0.0,0.0,0.028097026511484276,0.029962011708292186,0.0,0.03489814007022371,0.0,0.0,0.0,0.0,0.0894306590416342,0.0,0.0294412821767808,0.029226775911708296,0.0,0.06070549855475019,0.03043291520086238,0.0,0.09689969048091307,0.0,0.0,0.0,0.0,0.0627276742640896,0.0
crude article002.txt,0.6012170286603169,0.1642524050946881,0.09934825850464923,0.10668431569125479,0.13571293679531793,0.19958839005817647,0.14420266401923088,0.0355614385637516,0.11418509270898376,0.09813772099835835,0.0,0.0,0.0928613938928872,0.0,0.04769411028884342,0.04690995662131431,0.0940135855887724,0.04927834358873816,0.0940135855887724,0.0,0.0,0.0,0.15576438878087215,0.0,0.15559138943510478,0.0,0.0,0.0,0.0,0.053463696522557176,0.0,0.1087866862255053,0.05614798924230901,0.1191301579104032,0.10536409691800683,0.0,0.0,0.05528953637650196,0.059338954514197496,0.11943368247772712,0.05881827040368584,0.059946025583910816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599665923723061,0.0,0.0,0.0,0.07935899174531452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21090149854351542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0790554649845982,0.0768774403129154,0.0,0.0,0.0,0.0,0.0,0.0,0.08643123519331782,0.0,0.0,0.0,0.0,0.1566212542663308,0.0,0.0,0.08092760176450459,0.0,0.0,0.16656254841044893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17734865463088176,0.0,0.0,0.0,0.0,0.18705053538865335,0.0,0.0,0.09481442855879871,0.0,0.0,0.0,0.0,0.10164587575447906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884958843106095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08565782471022555,0.09134350020368184,0.0,0.0,0.0,0.0911111720052041,0.0,0.0,0.0,0.0,0.08975598136380002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude article003.txt,0.294260633140569,0.061097891368030885,0.1539797114442276,0.0,0.12620476188425886,0.24747338843257333,0.20114953635264649,0.033069971015134696,0.0,0.04563105037341194,0.0,0.0,0.0,0.048716797257082355,0.08870523288967284,0.08724680262903474,0.13114035916499764,0.0,0.08742690610999843,0.0,0.0,0.0,0.0,0.054766035166251635,0.04823017053147985,0.0,0.0,0.0,0.0,0.0,0.0,0.10116498953945811,0.0,0.0,0.19596438006116132,0.0,0.0,0.0,0.0,0.05553302365269333,0.0,0.2229846045152023,0.05349183592764321,0.0,0.0,0.0,0.0561776686258499,0.0,0.0,0.0,0.0,0.07175253190064097,0.0,0.0,0.0,0.0,0.0,0.0,0.19399291279039202,0.3238234350572071,0.0,0.0,0.0,0.0,0.0,0.0,0.12274574349169362,0.06446468309913103,0.0,0.0,0.0,0.0,0.0,0.0,0.136396305028848,0.0,0.0,0.0,0.065895001047232,0.06674873667053219,0.0,0.0,0.0,0.0,0.06854431212329755,0.0,0.0,0.0,0.0,0.0845135509623667,0.07255208782130856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07162160865364814,0.0,0.06831303259540067,0.0,0.07861337175415532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14564822313518883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1565493132935882,0.0,0.0,0.19430333472342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1548930209408103,0.0,0.0,0.0,0.0,0.0,0.08326331198033403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08168388488590064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08346759360745894,0.0,0.0,0.0,0.0,0.0,0.0,0.5042749427601033,0.0,0.0,0.0,0.0,0.0
crude article004.txt,0.2231249338421742,0.07127361797963004,0.2514745965548131,0.23146623504883612,0.12882091445873572,0.1623878809184166,0.01955421440599804,0.07715541168294537,0.06193504953563038,0.2129232272670909,0.2592185701425919,0.02616915034315855,0.10073775646636841,0.0,0.05173945237888182,0.02544439399335696,0.17847843179985046,0.05345805794423433,0.025496918828550062,0.0,0.03350342592023176,0.2846363841000999,0.028162681327757025,0.0,0.0,0.03350342592023176,0.0,0.029469313788869644,0.0,0.0,0.09291900009253316,0.20652416389221673,0.06091037652194064,0.0323086493005395,0.028575229949348226,0.03475116368494247,0.07614343002327614,0.0,0.032185997313992534,0.09717289969716153,0.03190357344050893,0.03251527827249881,0.0,0.0,0.07520114186443909,0.0,0.0,0.11512114922676221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03899619947225068,0.0,0.0,0.0,0.0,0.0,0.07329016180643298,0.0,0.0,0.040815463518232446,0.03579719788345368,0.0,0.0,0.07578666541827332,0.0,0.17351891983311063,0.04380863684003326,0.0966595270518365,0.0,0.0,0.0,0.0,0.0,0.03893279990156689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038131640624116864,0.0,0.049294553465928,0.0,0.21564018519680195,0.13969619805101313,0.04398362130970675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14677678940867903,0.0,0.04585313257985916,0.0,0.0,0.04585313257985916,0.04656539935033772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044160628766030864,0.04239687016224399,0.0,0.0,0.0,0.0,0.04389587909569574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1501807852117063,0.0,0.40259400475925655,0.0,0.0,0.0,0.0,0.0,0.0,0.047983085143074145,0.0,0.05072896951832555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04856532162507871,0.04880456046815813,0.0,0.0,0.0,0.0,0.0,0.04832976352591825,0.0,0.0,0.0,0.0,0.0,0.0,0.0504579717457029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10064850118981414,0.0,0.0,0.0,0.0,0.0,0.0484470895746864,0.0,0.0,0.0,0.0,0.0,0.23438337563974287,0.0,0.0,0.0,0.049419541706495304
crude article005.txt,0.19493264644546474,0.05059279221916151,0.05100184882086103,0.16430375596934377,0.20901052891065908,0.10246155342189307,0.05552137435954693,0.0,0.0,0.3022824125144306,0.0,0.0,0.0,0.08068097755989775,0.14690672021089715,0.0,0.0,0.0,0.07239482731971486,0.09785831338656527,0.0,0.0,0.0,0.09069925576132891,0.07987506415550878,0.0,0.0,0.16734774090325108,0.0,0.0,0.0,0.0,0.0,0.0,0.08113524821233664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21092719305874422,0.0,0.0,0.0,0.10895663871074518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10164098559236244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12245584712010926,0.0,0.0,0.0,0.0,0.226269482404319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12060563998489049,0.0,0.0,0.0,0.0,0.0,0.12826089819454944,0.0,0.0,0.0,0.0,0.0,0.48268514777070615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27313340187973323,0.0,0.0,0.0,0.0,0.1440375997225976,0.0,0.0,0.292046054405627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33405640462074393,0.0,0.0,0.0,0.0,0.0
crude article006.txt,0.16743878224269929,0.20859378474944384,0.14018688180820973,0.11290390324682781,0.10771864767093496,0.07040806368555287,0.11445714996297712,0.03763463441560927,0.0,0.05192952536963735,0.0,0.051058837463222824,0.09827511910738664,0.0,0.05047462861437769,0.0,0.0,0.0,0.09949448241220919,0.0,0.0,0.0,0.05494843162985661,0.0,0.05488740328571897,0.0,0.0,0.05749781262164573,0.0,0.05658057588211505,0.0,0.0,0.0,0.0,0.0,0.20340981594511745,0.0,0.0,0.0,0.0,0.062247315997433605,0.0634408181624821,0.0,0.0,0.0,0.0,0.0639318982193094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06511015544026365,0.0,0.0,0.07840471981020056,0.0,0.0,0.07086735805003702,0.0,0.0,0.0,0.08077354621759478,0.0,0.0698441976297454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23283472518246393,0.0,0.0,0.0,0.0,0.07596209567736203,0.0,0.0,0.0,0.0,0.07800551524067341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7636729645931526,0.16301514486990584,0.0,0.0,0.0,0.0,0.09085412119467337,0.0,0.0,0.0,0.08135931722215362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08776767649640405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961789955055598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19284572211253143
crude article007.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2724845773568906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30220539503878213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513994418569268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39739467315820975,0.0,0.0,0.0,0.0,0.0,0.0,0.34362382463664093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4238041122302278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053045635248566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude article008.txt,0.17175565210026822,0.12736410942266527,0.051357553272326835,0.16544966692633914,0.07892559010980253,0.10317615556865606,0.0,0.0,0.0,0.07609765853060332,0.3293986640881578,0.0,0.0,0.0,0.0,0.036374778467842206,0.03644986688396671,0.0,0.0,0.0,0.2873748212074612,0.0,0.0,0.0913318235949433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042177523672079525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09296633626182464,0.0,0.15929870393736553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059829870522361675,0.06976998845848503,0.06004985480454119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06225796845948102,0.0,0.1846089371262942,0.49611810527352596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0574472378943865,0.0,0.0,0.0,0.0,0.0,0.0,0.06404055495444656,0.0,0.0,0.0,0.0,0.06287807372310569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065550688300316,0.13313786023572483,0.0,0.0,0.0,0.0,0.0,0.0,0.5344919649127156,0.0,0.0,0.0,0.0,0.0,0.12626223983046128,0.0,0.0,0.0,0.0,0.1412983057899025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06627313842952484,0.0,0.0,0.0,0.0,0.06364616136832843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06457771692669252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude article009.txt,0.10265448189078676,0.07612265741701758,0.0,0.08240461390760863,0.01572401540904658,0.07708257824319265,0.0501229646474391,0.032961845563043456,0.0,0.045481855263783164,0.4429668529914264,0.04471927364845752,0.0,0.0,0.22103800648971406,0.02174038520332721,0.021785263857153177,0.0,0.021785263857153177,0.0,0.17175745321200606,0.0,0.0,0.0,0.09614495469683512,0.2862624220200101,0.0,0.0,0.0,0.0,0.18524924045128277,0.025208555218119405,0.026021744687894994,0.0,0.0,0.0,0.13011805271061305,0.0,0.0,0.027675726544350302,0.02725928454575841,0.0,0.0,0.06347282983548291,0.03212695480760523,0.0,0.0,0.0,0.0,0.0,0.0,0.035758965046928444,0.04169994948725631,0.2871235575515606,0.0,0.0,0.0,0.0,0.0,0.0,0.031034165042099934,0.38801402318912487,0.0,0.0,0.0,0.0,0.0,0.0,0.037210184454657534,0.03237709846615141,0.0,0.03706482612851746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03433491922968751,0.07623595695217411,0.0,0.0,0.0,0.0,0.0,0.26792917356259927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11054931847194158,0.0,0.0,0.0,0.0,0.0,0.0,0.03917816888567412,0.07957349813773593,0.0,0.04211861288797363,0.0,0.0,0.04169994948725631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037732047398939775,0.0,0.038678154593276504,0.0,0.0,0.16890162501832154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06800773876562663,0.0,0.0,0.0,0.038039876066430535,0.0,0.0,0.0,0.03960996104388833,0.0,0.0,0.0,0.0,0.0,0.0,0.12509984846176894,0.0,0.0,0.0,0.0,0.0,0.038596645826417954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596662052473309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07818698941624584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04288514846919511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
